Text,Intent
I OPENED A NEW ACCOUNT IN YOUR BANK BUT WHEN I GOT MY PASSBOOK I FOUND THAT MY MIDDLE NAME IS WRONGLY PRINTED ON IT .,Opening account-related issue
I APPLIED FOR DEBIT OR CREDIT CARD WHEN I OPENED MY ACCOUNT IN YOUR BANK LAST MONTH BUT I DID NOT GET ANY TILL NOW .,Card application status inquiry
TILL NOW I DID NOT GET ANY DEBIT OR CREDIT CARD WHICH I APPLIED LAST MONTH IN YOUR BANK .,Card application status inquiry
I GAVE AN APPLICATION FOR LINKING UNIQUE NUMBER WITH MY BANK ACCOUNT LAST MONTH BUT TILL NOW IT IS NOT UPDATED .,Unique number linking status inquiry
I WANT TO CHANGE THE MOBILE NUMBER THAT WAS PREVIOUSLY LINKED WITH MY ACCOUNT AND WANT TO ADD MY NEW NUMBER .,Mobile number update request
I LOST MY DEBIT OR CREDIT CARD YESTERDAY . SO I WANT TO BLOCK MY DEBIT OR CREDIT  CARD . THE RELATED INFORMATION IS GIVEN BELOW .,Card block request due to loss
PLEASE BLOCK MY DEBIT OR CREDIT CARD BECAUSE I LOST MY DEBIT OR CREDIT CARD YESTERDAY . ALL THE RELATED INFORMATION IS GIVEN BELOW .,Card block request due to loss
I GAVE AN APPLICATION FOR LINKING MY MOBILE NUMBER WITH MY ACCOUNT LAST WEEK BUT TILL NOW I DO NOT GET ANY INFORMATION REGARDING THAT .,Mobile number linking status inquiry
I GAVE AN APPLICATION FOR LINKING MY MOBILE NUMBER WITH MY ACCOUNT LAST MONTH BUT I DID NOT GET ANY SMS RELATED TO MY ACCOUNT ON REGISTERED THE NUMBER .,Mobile number linking status inquiry
I APPLIED FOR A NEW ACCOUNT IN YOUR BANK BUT WHEN I GOT MY PASSBOOK I FOUND THAT THE NAME OF MY FATHER IS WRONGLY PRINTED ON IT .,Passbook error correction request
"I AM NOT ABLE TO MAKE PAYMENT THROUGH MY DEBIT OR CREDIT CARD . AN ERROR MESSAGE WAS SHOWN THAT "" THIS CARD IS NOT RECOGNISED "" .",Card payment failure issue
"DURING PAYMENT THROUGH DEBIT CARD IT SHOWS PAYMENT FAILURE . AN ERROR MESSAGE WAS SHOWN THAT "" THIS CARD IS NOT RECOGNISED "" .",Card payment failure issue
I APPLIED FOR A NEW ACCOUNT IN YOUR BANK BUT WHEN I GOT MY PASSBOOK I FOUND THAT MY DATE OF BIRTH IS WRONGLY PRINTED ON  THE PASSBOOK .,Passbook error correction request
I WANT TO ADD MY PAN CARD NUMBER TO MY ACCOUNT SO THAT I CAN MAKE LARGE TRANSACTION BY USING IT .,PAN card linking request
I MAKE A PAYMENT THROUGH MY DEBIT CARD AT A SHOPPING MALL  . THE PAYMENT STATUS SHOWS FAILURE OF PAYMENT BUT BALANCE IS DEDUCED FROM MY ACCOUNT .,Payment failure at shopping mall
THE PAYMENT IS NOT COMPLETED BUT BALANCE IS DEDUCED FROM MY ACCOUNT WHEN I MAKE A PAYMENT AT A SHOPPING MALL .,Payment failure at shopping mall
I GAVE AN APPLICATION FOR UPDATING MY PERSONAL DETAILS ON MY ACCOUNT BUT IT IS NOT DONE TILL NOW . I ALSO ATTACHED THE NECESSARY DOCUMENTS WITH THE APPLICATION .,Personal details update request
I APPLIED FOR OPENING A JOINT ACCOUNT WITH MY MOTHER LAST MONTH BUT WHEN I GOT MY ACCOUNT DETAIL I FOUND THAT IT IS A PERSONAL ACCOUNT .,Account type confusion
